date_time,date,A1,A2,nudge
2020年2月15日 19時01分43秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 19時02分10秒,2020年2月15日,絶対に受ける,すでに調べた,介入群①（５月・９月・１月生まれ）
2020年2月15日 19時03分51秒,2020年2月15日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 19時08分05秒,2020年2月15日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 19時17分45秒,2020年2月15日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 19時20分12秒,2020年2月15日,すでに受けた,調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 19時22分31秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 19時24分25秒,2020年2月15日,どちらとも言えない,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 19時27分11秒,2020年2月15日,絶対に受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 19時39分07秒,2020年2月15日,受けない,調べない,介入群③（７月・１１月・３月生まれ）
2020年2月15日 19時48分50秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 19時51分33秒,2020年2月15日,どちらとも言えない,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 19時52分28秒,2020年2月15日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 19時54分18秒,2020年2月15日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 19時55分21秒,2020年2月15日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 19時56分24秒,2020年2月15日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 19時57分34秒,2020年2月15日,すでに受けた,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時04分57秒,2020年2月15日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 20時05分21秒,2020年2月15日,どちらとも言えない,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 20時09分41秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時13分41秒,2020年2月15日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 20時14分21秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時17分13秒,2020年2月15日,受ける,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時18分13秒,2020年2月15日,絶対に受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 20時21分18秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時32分12秒,2020年2月15日,絶対に受ける,どちらとも言えない,介入群②（６月・１０月・２月生まれ）
2020年2月15日 20時32分52秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 20時36分55秒,2020年2月15日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時37分12秒,2020年2月15日,どちらとも言えない,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時40分10秒,2020年2月15日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時40分21秒,2020年2月15日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 20時42分52秒,2020年2月15日,受ける,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時44分30秒,2020年2月15日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時45分22秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時47分02秒,2020年2月15日,どちらとも言えない,調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 20時48分12秒,2020年2月15日,受ける,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時49分38秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 20時51分11秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 20時52分24秒,2020年2月15日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 20時53分16秒,2020年2月15日,すでに受けた,すでに調べた,介入群③（７月・１１月・３月生まれ）
2020年2月15日 20時55分15秒,2020年2月15日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 20時56分12秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 21時00分25秒,2020年2月15日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月15日 21時04分54秒,2020年2月15日,受ける,どちらとも言えない,介入群①（５月・９月・１月生まれ）
2020年2月15日 21時05分54秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 21時06分04秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 21時08分59秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 21時11分10秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 21時11分38秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月15日 21時17分21秒,2020年2月15日,すでに受けた,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月15日 21時18分30秒,2020年2月15日,すでに受けた,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月15日 21時20分01秒,2020年2月15日,絶対に受ける,どちらとも言えない,介入群①（５月・９月・１月生まれ）
2020年2月15日 21時24分32秒,2020年2月15日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 21時25分11秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 21時27分07秒,2020年2月15日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 21時31分39秒,2020年2月15日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 21時35分33秒,2020年2月15日,どちらとも言えない,どちらとも言えない,介入群②（６月・１０月・２月生まれ）
2020年2月15日 21時38分45秒,2020年2月15日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月15日 21時38分54秒,2020年2月15日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月15日 21時39分10秒,2020年2月15日,どちらとも言えない,どちらとも言えない,介入群②（６月・１０月・２月生まれ）
2020年2月15日 21時40分31秒,2020年2月15日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月17日 10時02分52秒,2020年2月17日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月17日 10時09分03秒,2020年2月17日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月17日 10時09分22秒,2020年2月17日,絶対に受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月17日 10時40分08秒,2020年2月17日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月17日 10時44分59秒,2020年2月17日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月17日 10時48分53秒,2020年2月17日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月17日 11時06分53秒,2020年2月17日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月17日 11時08分15秒,2020年2月17日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月17日 11時15分52秒,2020年2月17日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
2020年2月17日 11時22分02秒,2020年2月17日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月17日 11時25分42秒,2020年2月17日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月17日 11時31分28秒,2020年2月17日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月17日 11時31分37秒,2020年2月17日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月17日 11時32分55秒,2020年2月17日,どちらとも言えない,どちらとも言えない,介入群③（７月・１１月・３月生まれ）
2020年2月17日 11時33分05秒,2020年2月17日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月17日 11時35分14秒,2020年2月17日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月17日 20時41分05秒,2020年2月17日,どちらとも言えない,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月17日 20時50分32秒,2020年2月17日,絶対に受ける,すでに調べた,介入群③（７月・１１月・３月生まれ）
2020年2月17日 23時24分39秒,2020年2月17日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月18日 11時40分49秒,2020年2月18日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月18日 12時26分35秒,2020年2月18日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月18日 19時11分06秒,2020年2月18日,どちらとも言えない,調べない,介入群①（５月・９月・１月生まれ）
2020年2月18日 20時24分00秒,2020年2月18日,受ける,調べない,統制群（４月・８月・１２月生まれ）
2020年2月18日 20時33分03秒,2020年2月18日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月18日 20時36分09秒,2020年2月18日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月18日 21時21分30秒,2020年2月18日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月18日 21時27分32秒,2020年2月18日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月18日 21時27分47秒,2020年2月18日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月18日 21時41分05秒,2020年2月18日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月18日 21時42分08秒,2020年2月18日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月18日 21時45分04秒,2020年2月18日,受ける,絶対に調べる,介入群①（５月・９月・１月生まれ）
2020年2月18日 21時45分35秒,2020年2月18日,すでに受けた,すでに調べた,介入群①（５月・９月・１月生まれ）
2020年2月18日 22時19分39秒,2020年2月18日,どちらとも言えない,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月18日 22時40分46秒,2020年2月18日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月18日 22時43分48秒,2020年2月18日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月18日 23時20分24秒,2020年2月18日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 13時23分58秒,2020年2月19日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 16時15分27秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 16時16分35秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群①（５月・９月・１月生まれ）
2020年2月19日 16時36分40秒,2020年2月19日,受けない,調べない,統制群（４月・８月・１２月生まれ）
2020年2月19日 16時40分05秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 16時41分34秒,2020年2月19日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 16時43分41秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 16時55分28秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 16時56分01秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 16時56分32秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 17時10分45秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時14分00秒,2020年2月19日,受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時14分13秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 17時14分28秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時20分31秒,2020年2月19日,受ける,調べない,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時24分43秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時25分49秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 17時27分50秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時28分29秒,2020年2月19日,受ける,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時32分48秒,2020年2月19日,受ける,どちらとも言えない,介入群①（５月・９月・１月生まれ）
2020年2月19日 17時34分09秒,2020年2月19日,受ける,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時45分40秒,2020年2月19日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時47分01秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 17時58分06秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 18時07分10秒,2020年2月19日,どちらとも言えない,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 18時11分46秒,2020年2月19日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 18時19分53秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 18時22分52秒,2020年2月19日,すでに受けた,すでに調べた,介入群①（５月・９月・１月生まれ）
2020年2月19日 18時31分03秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 18時32分00秒,2020年2月19日,すでに受けた,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月19日 18時35分27秒,2020年2月19日,受ける,調べない,統制群（４月・８月・１２月生まれ）
2020年2月19日 18時38分43秒,2020年2月19日,どちらとも言えない,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月19日 18時38分59秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群①（５月・９月・１月生まれ）
2020年2月19日 18時51分58秒,2020年2月19日,すでに受けた,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月19日 18時55分05秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 18時58分53秒,2020年2月19日,どちらとも言えない,どちらとも言えない,介入群②（６月・１０月・２月生まれ）
2020年2月19日 19時06分45秒,2020年2月19日,絶対に受ける,どちらとも言えない,介入群①（５月・９月・１月生まれ）
2020年2月19日 19時09分20秒,2020年2月19日,絶対に受ける,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月19日 19時12分41秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 19時12分44秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 19時18分52秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 19時34分04秒,2020年2月19日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 19時34分30秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 19時37分42秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 19時44分20秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 19時46分28秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 19時48分34秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 19時48分43秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 19時49分12秒,2020年2月19日,どちらとも言えない,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時06分30秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時08分27秒,2020年2月19日,すでに受けた,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時10分59秒,2020年2月19日,すでに受けた,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月19日 20時17分58秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時24分03秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 20時27分41秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時28分53秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時32分39秒,2020年2月19日,すでに受けた,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月19日 20時33分21秒,2020年2月19日,すでに受けた,すでに調べた,介入群①（５月・９月・１月生まれ）
2020年2月19日 20時33分42秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 20時34分50秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時39分38秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時53分12秒,2020年2月19日,受ける,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時54分20秒,2020年2月19日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 20時56分56秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 21時05分27秒,2020年2月19日,絶対に受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月19日 21時15分11秒,2020年2月19日,受ける,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月19日 21時20分19秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 21時34分57秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 21時38分03秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 21時41分23秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 21時42分20秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 21時51分17秒,2020年2月19日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 21時52分38秒,2020年2月19日,受けない,調べない,介入群②（６月・１０月・２月生まれ）
2020年2月19日 21時54分51秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 21時56分08秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 22時00分30秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 22時01分24秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 22時18分34秒,2020年2月19日,絶対に受ける,すでに調べた,介入群①（５月・９月・１月生まれ）
2020年2月19日 22時19分21秒,2020年2月19日,どちらとも言えない,どちらとも言えない,介入群①（５月・９月・１月生まれ）
2020年2月19日 22時25分29秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 22時29分56秒,2020年2月19日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月19日 22時36分59秒,2020年2月19日,すでに受けた,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月19日 22時38分05秒,2020年2月19日,どちらとも言えない,どちらとも言えない,介入群①（５月・９月・１月生まれ）
2020年2月19日 22時46分06秒,2020年2月19日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月19日 22時51分00秒,2020年2月19日,受ける,どちらとも言えない,介入群②（６月・１０月・２月生まれ）
2020年2月19日 22時51分35秒,2020年2月19日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 22時58分38秒,2020年2月19日,どちらとも言えない,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月19日 23時06分42秒,2020年2月19日,絶対に受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月19日 23時07分47秒,2020年2月19日,受けない,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月19日 23時12分49秒,2020年2月19日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 23時13分37秒,2020年2月19日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月19日 23時20分14秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 23時25分53秒,2020年2月19日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 23時42分03秒,2020年2月19日,すでに受けた,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月19日 23時47分02秒,2020年2月19日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月19日 23時48分03秒,2020年2月19日,受けない,調べない,介入群①（５月・９月・１月生まれ）
2020年2月19日 23時55分13秒,2020年2月19日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 00時01分46秒,2020年2月20日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 01時13分17秒,2020年2月20日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 01時16分19秒,2020年2月20日,どちらとも言えない,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 01時22分56秒,2020年2月20日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 01時28分21秒,2020年2月20日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 01時35分08秒,2020年2月20日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 01時43分08秒,2020年2月20日,すでに受けた,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月20日 01時55分02秒,2020年2月20日,どちらとも言えない,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月20日 02時02分48秒,2020年2月20日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月20日 02時37分39秒,2020年2月20日,どちらとも言えない,どちらとも言えない,介入群②（６月・１０月・２月生まれ）
2020年2月20日 03時11分56秒,2020年2月20日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 03時42分52秒,2020年2月20日,絶対に受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 03時47分23秒,2020年2月20日,受ける,すでに調べた,統制群（４月・８月・１２月生まれ）
2020年2月20日 04時40分09秒,2020年2月20日,絶対に受ける,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月20日 05時25分54秒,2020年2月20日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 05時31分03秒,2020年2月20日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 05時53分21秒,2020年2月20日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 06時12分14秒,2020年2月20日,どちらとも言えない,どちらとも言えない,介入群②（６月・１０月・２月生まれ）
2020年2月20日 06時38分06秒,2020年2月20日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 06時48分22秒,2020年2月20日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月20日 06時54分01秒,2020年2月20日,どちらとも言えない,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 06時55分22秒,2020年2月20日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 07時00分11秒,2020年2月20日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 07時13分33秒,2020年2月20日,受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 07時32分45秒,2020年2月20日,すでに受けた,すでに調べた,介入群①（５月・９月・１月生まれ）
2020年2月20日 07時43分09秒,2020年2月20日,どちらとも言えない,どちらとも言えない,統制群（４月・８月・１２月生まれ）
2020年2月20日 08時04分04秒,2020年2月20日,受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 08時09分45秒,2020年2月20日,受ける,すでに調べた,介入群②（６月・１０月・２月生まれ）
2020年2月20日 08時27分47秒,2020年2月20日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 09時15分14秒,2020年2月20日,絶対に受ける,調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 09時22分16秒,2020年2月20日,絶対に受ける,絶対に調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 09時28分48秒,2020年2月20日,受ける,調べる,介入群③（７月・１１月・３月生まれ）
2020年2月20日 09時42分41秒,2020年2月20日,どちらとも言えない,どちらとも言えない,介入群③（７月・１１月・３月生まれ）
2020年2月20日 09時46分58秒,2020年2月20日,どちらとも言えない,どちらとも言えない,介入群③（７月・１１月・３月生まれ）
2020年2月20日 10時02分44秒,2020年2月20日,受ける,調べる,介入群①（５月・９月・１月生まれ）
2020年2月20日 10時16分54秒,2020年2月20日,受ける,絶対に調べる,介入群②（６月・１０月・２月生まれ）
2020年2月20日 10時19分15秒,2020年2月20日,絶対に受ける,調べる,統制群（４月・８月・１２月生まれ）
2020年2月20日 10時29分39秒,2020年2月20日,絶対に受ける,絶対に調べる,介入群③（７月・１１月・３月生まれ）
