vars,Description,Description_ja
handwash,"(Wave2) Five-point Likert scale for the question ""I wash my hands and gargle frequently during the period from the end of the previous questionnaire response to today.""",(Wave2)「前回の調査から今日までの期間で、こまめに手洗い・うがいをしている」という文章に対する5段階評価（1:全く当てはまらない～5:非常に当てはまる）
temp_check,"(Wave2) Five-point Likert scale for the question ""I take my temperature frequently during the period from the end of the previous questionnaire response to today.""",(Wave2)「前回の調査から今日までの期間で、こまめに体温を測定している」という文章に対する5段階評価（1:全く当てはまらない～5:非常に当てはまる）
eat_habit,"(Wave2) Five-point Likert scale for the question ""I eat every morning, day and night during the period from the end of the previous questionnaire response to today.""",(Wave2)「前回の調査から今日までの期間で、朝昼晩と欠かさずに食事をとっている」という文章に対する5段階評価（1:全く当てはまらない～6:非常に当てはまる）
avoid_out,"(Wave2) Five-point Likert scale for the question ""I am refraining from going out during the end of the previous questionnaire response to today.""",(Wave2)「前回の調査から今日までの期間で、外出を控えている」という文章に対する5段階評価（1:全く当てはまらない～7:非常に当てはまる）
avoid_crowd,"(Wave2) Five-point Likert scale for the question ""I avoid crowded places when I go out from the end of the previous questionnaire response to today.""",(Wave2)「前回の調査から今日までの期間で、外出するときは、人ごみの多い場所を避けている」という文章に対する5段階評価（1:全く当てはまらない～8:非常に当てはまる）
wear_mask,"(Wave2) Five-point Likert scale for the question ""I always wear a medical mask when I go out or meet people during the period from the end of the previous questionnaire response to today.""",(Wave2)「前回の調査から今日までの期間で、外出するときや人と会うときは、必ずマスクを着用している」という文章に対する5段階評価（1:全く当てはまらない～9:非常に当てはまる）
exercise_w2,"(Wave2) Five-point Likert scale for the question ""I am exercising and playing sports at least once a week from the end of the previous questionnaire response to today.""",(Wave2)「前回の調査から今日までの期間で、週に1回以上、運動やスポーツをしている」という文章に対する5段階評価（1:全く当てはまらない～10:非常に当てはまる）
avoid_hospital,"(Wave2) Five-point Likert scale for the question ""I will not go to a hospital until I feel seriously ill during the period from the end of the previous questionnaire response to today.""",(Wave2)「前回の調査から今日までの期間で、たとえ体調が悪くても、重症だと感じるまでは、医療機関に行かないようにしている」という文章に対する5段階評価（1:全く当てはまらない～11:非常に当てはまる）
norm_waiting_line,"(Wave1) Five-point Likert scale for the question ""I never interrupt someone in line.""",(Wave1) 「列で並んでいるところに割り込むことは絶対にしない」という文章に対する5段階評価（1:全く当てはまらない～5:非常に当てはまる）
selfish_anonymous,"(Wave1) Five-point Likert scale for the question ""If I can never find it, I can do bad things (littering, parking tickets, etc.).""",(Wave1)「絶対に見つからないなら、悪いこと（ゴミのポイ捨てや駐車違反など）をやって良い」という文章に対する5段階評価（1:全く当てはまらない～5:非常に当てはまる）
